Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
User Story 2.3 — Extraction & indexation des compétences,GED-39,10472,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:17 PM,22/Dec/25 2:19 PM,22/Dec/25 2:18 PM,,,0,"En tant que RH, je veux identifier les compétences clés d’un CV.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i00113:,GEDPRO REST API APP,22/Dec/25 12:00 AM,,,,10410,GED-2,ÉPIC 2 — Gestion Documentaire RH (GED),In Progress,22/Dec/25 2:18 PM
[BE] Service extraction skills (regex / dictionnaire).,GED-40,10474,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:18 PM,22/Dec/25 2:18 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0011b:,GEDPRO REST API APP,,,,,10472,GED-39,User Story 2.3 — Extraction & indexation des compétences,To Do,22/Dec/25 2:18 PM
[BE] Indexation skills par candidat.,GED-41,10476,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:18 PM,22/Dec/25 2:18 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0011j:,GEDPRO REST API APP,,,,,10472,GED-39,User Story 2.3 — Extraction & indexation des compétences,To Do,22/Dec/25 2:18 PM
[BE] Recherche par compétences.,GED-42,10478,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:18 PM,22/Dec/25 2:18 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0011r:,GEDPRO REST API APP,,,,,10472,GED-39,User Story 2.3 — Extraction & indexation des compétences,To Do,22/Dec/25 2:18 PM
[TEST] Tests unitaires skills service.,GED-43,10480,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:18 PM,22/Dec/25 2:19 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0011z:,GEDPRO REST API APP,,,,,10472,GED-39,User Story 2.3 — Extraction & indexation des compétences,To Do,22/Dec/25 2:18 PM
User Story 3.1 — Création de formulaires personnalisés,GED-44,10481,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:19 PM,22/Dec/25 2:21 PM,22/Dec/25 2:20 PM,,,0,"En tant que RH, je veux créer des formulaires adaptés à mes besoins.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i00127:,GEDPRO REST API APP,22/Dec/25 12:00 AM,,,,10411,GED-3,ÉPIC 3 — Formulaires RH Dynamiques,In Progress,22/Dec/25 2:20 PM
[BE] Modèle Form + Fields dynamiques.,GED-45,10483,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:20 PM,22/Dec/25 2:20 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0012f:,GEDPRO REST API APP,,,,,10481,GED-44,User Story 3.1 — Création de formulaires personnalisés,To Do,22/Dec/25 2:20 PM
"[BE] Types de champs (texte, nombre, email, fichier).",GED-46,10485,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:20 PM,22/Dec/25 2:20 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0012n:,GEDPRO REST API APP,,,,,10481,GED-44,User Story 3.1 — Création de formulaires personnalisés,To Do,22/Dec/25 2:20 PM
[BE] CRUD formulaires.,GED-47,10487,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:20 PM,22/Dec/25 2:20 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0012v:,GEDPRO REST API APP,,,,,10481,GED-44,User Story 3.1 — Création de formulaires personnalisés,To Do,22/Dec/25 2:20 PM
[TEST] Tests unitaires formulaires.,GED-48,10489,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:20 PM,22/Dec/25 2:20 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i00133:,GEDPRO REST API APP,,,,,10481,GED-44,User Story 3.1 — Création de formulaires personnalisés,To Do,22/Dec/25 2:20 PM
User Story 3.2 — Association formulaires & processus,GED-49,10490,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:21 PM,22/Dec/25 2:22 PM,22/Dec/25 2:21 PM,,,0,"En tant que RH, je veux associer un formulaire à un recrutement ou process.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0013b:,GEDPRO REST API APP,22/Dec/25 12:00 AM,,,,10411,GED-3,ÉPIC 3 — Formulaires RH Dynamiques,In Progress,22/Dec/25 2:21 PM
[BE] Association Form → Process.,GED-50,10492,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:22 PM,22/Dec/25 2:22 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0013j:,GEDPRO REST API APP,,,,,10490,GED-49,User Story 3.2 — Association formulaires & processus,To Do,22/Dec/25 2:22 PM
[BE] Validation des réponses.,GED-51,10494,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:22 PM,22/Dec/25 2:22 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0013r:,GEDPRO REST API APP,,,,,10490,GED-49,User Story 3.2 — Association formulaires & processus,To Do,22/Dec/25 2:22 PM
[TEST] Tests unitaires association.,GED-52,10496,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:22 PM,22/Dec/25 2:22 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0013z:,GEDPRO REST API APP,,,,,10490,GED-49,User Story 3.2 — Association formulaires & processus,To Do,22/Dec/25 2:22 PM
User Story 4.1 — Création dossier candidat,GED-53,10497,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:24 PM,22/Dec/25 2:25 PM,22/Dec/25 2:28 PM,,,0,"En tant que RH, je veux créer un candidat à partir d’un formulaire.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i00147:,GEDPRO REST API APP,22/Dec/25 12:00 AM,,,,10412,GED-4,ÉPIC 4 — Gestion des Candidats & Workflows,In Progress,22/Dec/25 2:24 PM
[BE] Modèle Candidate.,GED-54,10499,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:25 PM,22/Dec/25 2:28 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0014f:,GEDPRO REST API APP,,,,,10497,GED-53,User Story 4.1 — Création dossier candidat,To Do,22/Dec/25 2:28 PM
[BE] Création candidat depuis formulaire.,GED-55,10501,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:25 PM,22/Dec/25 2:28 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0014n:,GEDPRO REST API APP,,,,,10497,GED-53,User Story 4.1 — Création dossier candidat,To Do,22/Dec/25 2:28 PM
[BE] Association documents + skills.,GED-56,10503,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:25 PM,22/Dec/25 2:28 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0014v:,GEDPRO REST API APP,,,,,10497,GED-53,User Story 4.1 — Création dossier candidat,To Do,22/Dec/25 2:28 PM
[TEST] Tests unitaires candidat creation.,GED-57,10505,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:25 PM,22/Dec/25 2:28 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i00153:,GEDPRO REST API APP,,,,,10497,GED-53,User Story 4.1 — Création dossier candidat,To Do,22/Dec/25 2:28 PM
User Story 4.2 — Workflow & états candidat,GED-58,10506,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:26 PM,22/Dec/25 2:26 PM,22/Dec/25 2:28 PM,,,0,"En tant que RH, je veux suivre les états du candidat.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0015b:,GEDPRO REST API APP,,,,,10412,GED-4,ÉPIC 4 — Gestion des Candidats & Workflows,In Progress,22/Dec/25 2:26 PM
[BE] Enum états candidat.,GED-59,10508,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:26 PM,22/Dec/25 2:27 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0015j:,GEDPRO REST API APP,,,,,10506,GED-58,User Story 4.2 — Workflow & états candidat,To Do,22/Dec/25 2:27 PM
[BE] Route updateStatus.,GED-60,10510,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:26 PM,22/Dec/25 2:27 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0015r:,GEDPRO REST API APP,,,,,10506,GED-58,User Story 4.2 — Workflow & états candidat,To Do,22/Dec/25 2:27 PM
[BE] Historique des changements (date + user).,GED-61,10512,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:26 PM,22/Dec/25 2:27 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0015z:,GEDPRO REST API APP,,,,,10506,GED-58,User Story 4.2 — Workflow & états candidat,To Do,22/Dec/25 2:27 PM
[TEST] Tests unitaires workflow candidat.,GED-62,10514,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:26 PM,22/Dec/25 2:27 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i00167:,GEDPRO REST API APP,,,,,10506,GED-58,User Story 4.2 — Workflow & états candidat,To Do,22/Dec/25 2:27 PM
User Story 5.1 — Planification d’entretien,GED-63,10515,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:28 PM,22/Dec/25 2:30 PM,22/Dec/25 2:29 PM,,,0,"En tant que RH, je veux planifier un entretien.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0016f:,GEDPRO REST API APP,22/Dec/25 12:00 AM,,,,10413,GED-5,ÉPIC 5 — Entretiens & Agenda,In Progress,22/Dec/25 2:29 PM
"[BE] Modèle Interview (date, heure, durée, type).",GED-64,10517,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:29 PM,22/Dec/25 2:29 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0016n:,GEDPRO REST API APP,,,,,10515,GED-63,User Story 5.1 — Planification d’entretien,To Do,22/Dec/25 2:29 PM
[BE] Création / modification / annulation entretien.,GED-65,10519,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:29 PM,22/Dec/25 2:29 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0016v:,GEDPRO REST API APP,,,,,10515,GED-63,User Story 5.1 — Planification d’entretien,To Do,22/Dec/25 2:29 PM
[TEST] Tests unitaires interviews.,GED-66,10521,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:29 PM,22/Dec/25 2:29 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i00173:,GEDPRO REST API APP,,,,,10515,GED-63,User Story 5.1 — Planification d’entretien,To Do,22/Dec/25 2:29 PM
User Story 5.2 — Synchronisation calendrier externe,GED-67,10522,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:30 PM,22/Dec/25 2:30 PM,22/Dec/25 2:30 PM,,,0,"En tant que système, je veux synchroniser les entretiens avec un agenda.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0017b:,GEDPRO REST API APP,,,,,10413,GED-5,ÉPIC 5 — Entretiens & Agenda,In Progress,22/Dec/25 2:30 PM
[BE] Intégration Google Calendar API (ou alternative gratuite).,GED-68,10524,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:30 PM,22/Dec/25 2:30 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0017j:,GEDPRO REST API APP,,,,,10522,GED-67,User Story 5.2 — Synchronisation calendrier externe,To Do,22/Dec/25 2:30 PM
[BE] Création événement calendrier.,GED-69,10526,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:30 PM,22/Dec/25 2:30 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0017r:,GEDPRO REST API APP,,,,,10522,GED-67,User Story 5.2 — Synchronisation calendrier externe,To Do,22/Dec/25 2:30 PM
[BE] Mise à jour / suppression synchronisée.,GED-70,10528,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:30 PM,22/Dec/25 2:30 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0017z:,GEDPRO REST API APP,,,,,10522,GED-67,User Story 5.2 — Synchronisation calendrier externe,To Do,22/Dec/25 2:30 PM
[TEST] Tests unitaires calendar integration.,GED-71,10530,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:30 PM,22/Dec/25 2:31 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i00187:,GEDPRO REST API APP,,,,,10522,GED-67,User Story 5.2 — Synchronisation calendrier externe,To Do,22/Dec/25 2:30 PM
User Story 6.1 — Notifications système,GED-72,10531,Task,In Progress,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:33 PM,22/Dec/25 2:34 PM,22/Dec/25 2:34 PM,,,0,"En tant qu’utilisateur, je veux recevoir des notifications temps réel.",,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0018f:,GEDPRO REST API APP,,,,,10414,GED-6,ÉPIC 6 — Notifications Temps Réel,In Progress,22/Dec/25 2:33 PM
[BE] Service Notifications.,GED-73,10533,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:34 PM,22/Dec/25 2:34 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0018n:,GEDPRO REST API APP,,,,,10531,GED-72,User Story 6.1 — Notifications système,To Do,22/Dec/25 2:34 PM
[BE] WebSockets ou SSE.,GED-74,10535,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:34 PM,22/Dec/25 2:34 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0018v:,GEDPRO REST API APP,,,,,10531,GED-72,User Story 6.1 — Notifications système,To Do,22/Dec/25 2:34 PM
[BE] Déclencheurs automatiques.,GED-75,10537,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:34 PM,22/Dec/25 2:34 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i00193:,GEDPRO REST API APP,,,,,10531,GED-72,User Story 6.1 — Notifications système,To Do,22/Dec/25 2:34 PM
[TEST] Tests unitaires notifications.,GED-76,10539,Subtask,To Do,GED,GEDPro,software,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,Medium,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,22/Dec/25 2:34 PM,22/Dec/25 2:34 PM,,,,0,,,MED LAQ,712020:26b84163-446f-4d42-86b1-b3ea03774530,,,,,,,,,{},,0|i0019b:,GEDPRO REST API APP,,,,,10531,GED-72,User Story 6.1 — Notifications système,To Do,22/Dec/25 2:34 PM
